Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County
"14Th Street Duplex Homeowners Association, Inc",12771462021-4,REG,2.0,(702) 290-2122,"C/O 14Th Street Duplex Homeowners Association, Inc",9292 Bluemist Falls St,Las Vegas,NV,89123,Clark
"428 Quaking Aspen Hoa, Llc",0617562006-1,SUB,4.0,(775) 690-0808,"C/O 428 Quaking Aspen Hoa, Llc",16310 Jeffe Ct,Reno,NV,89511,Washoe
Alondra Homeowners' Association,769-2005,REG,320.0,(702) 943-0981,"C/O 5 Star Management, Llc",8871 W Flamingo Road Ste 202,Las Vegas,NV,89147,Clark
Bonanza Park Homeowners Association,1888-1983,REG,132.0,(702) 943-0981,"C/O 5 Star Management, Llc",8871 W Flamingo Rd Ste 202,Las Vegas,NV,89147,Clark
"Palo Verde Homeowners Association, Inc",16143-1994,REG,52.0,(702) 943-0981,"C/O 5 Star Management, Llc",8871 W Flamingo St Ste 202,Las Vegas,NV,89147,Clark
Eldora Plaza Inc,4899-1978,REG,72.0,(702) 943-0981,"C/O 5 Star Management, Llc","8871 W Flamingo Rd, Suite 202",Las Vegas,NV,89147,Clark
Sutton Place Homeowners Association,1190-1985,REG,112.0,(702) 943-0981,"C/O 5 Star Management, Llc",8871 W Flamingo Rd Ste 202,Las Vegas,NV,89147,Clark
Cactus Hills East Homeowners Association (Highland Hills),0864642006-0,REG,42.0,(702) 943-0981,"C/O 5 Star Management, Llc",8871 W. Flamingo Rd. Ste 202,Las Vegas,NV,89147,Clark
Lamplight Glen At Craig Homeowners' Association,0568782005-6,REG,21.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Enclave At Goldrush Landscape Maintenance Association Inc,20901-2002,REG,33.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Grand Mesa Drive Homeowners Association,1584-1992,SUB,41.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Cherrywood Homeowners Association,7305-1987,REG,26.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140 D,Las Vegas,NV,89149,Clark
Alexander Station Community Association,19615-1998,REG,93.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Paradise Villas Homeowners Association,6729-1988,REG,46.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Cherrywood Iii Homeowners Association,2356-1995,REG,17.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
"Sundial Drive Homeowners Association, Inc.",9316-1990,SUB,44.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
"Goldrush Landscape Maintenance Association, Inc.",7214-2001,REG,180.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Faiss Drive Homeowners Association Inc,12536-1994,SUB,47.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
"Sunset Estates Property Owners Association, Inc",7406-1999,REG,22.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Gemstone Drive Homeowners Association Inc,6468-1989,SUB,48.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Hampton Maintenance Corporation,17791-2004,REG,266.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Banora Point Drive Homeowners Association,8813-1994,SUB,12.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
Heritage Estates Ii Community,24112-2001,REG,27.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Big Timber Drive Homeowners Association Inc,2304-1991,SUB,28.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
Morning Hills Association,0218532005-4,REG,51.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Centennial Estates Homeowners Association,0159172005-8,REG,11.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
"Valley Downs Homeowners Association, Inc",11877-1997,SUB,53.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
