Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County
"Ridgeville Homeowners Association, Inc.",13162-1992,SUB,16.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Arbuckle Drive Homeowners Association,6425-1992,SUB,48.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89149,Clark
Spanish Palms Homeowners Association Inc,4121-1995,REG,30.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
Cedar Springs Homeowners Association,29739-2003,REG,103.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
Tumble Brook Drive Homeowners Association Inc,1396-1992,SUB,22.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Canaberry Estates Homeowners Association,0235132012-6,REG,8.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Bradley Homeowners Association,0603752006-8,REG,14.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Canyon Vista Estates Homeowners Association,20300-2000,REG,9.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Big Green Lane Homeowners Association Inc,12535-1994,SUB,24.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Monteciti Pkwy Suite 100,Las Vegas,NV,89149,Clark
Junction Hill Drive Homeowners Association Inc,2716-1993,SUB,84.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Litchfield Avenue Homeowners Association Inc,0656452005-4,SUB,58.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
"Showcase Homeowners Association, Inc",1425-1990,SUB,100.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
Lamplight Cottages At Buffalo And Windmill Homeowners' Association,0292412006-1,REG,99.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
"Goldrush East Landscape Maintenance Association, Inc.",24191-2002,REG,124.0,(702) 645-1210,C/O Adept Management Services Inc,7495 W Azure Drive Ste 140-D,Las Vegas,NV,89130,Clark
Eagle Heights At Elkhorn Springs Homeowners Association Inc,13065-1998,REG,81.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Blue Bell Drive Homeowners Association Inc,2305-1991,SUB,27.0,(702) 645-1210,C/O Adept Management Services Inc,6605 Grand Montecito Pkwy Ste 100,Las Vegas,NV,89149,Clark
Glenbrook Homeowners Association,2659-1977,MSTR,95.0,(775) 749-5266,C/O Alpenhof Management Services,Po Box 447,Glenbrook,NV,89413,Douglas
Glenbrook Cottage & Townhome Association,3238-1978,SUB,133.0,(775) 749-5266,C/O Alpenhof Management Services,Po Box 447,Glenbrook,NV,89413,Douglas
Tyrolian Village Association Inc,1627-1968,REG,226.0,(775) 525-7886,C/O Alpenhof Management Services,Po Box 5913,Incline Village,NV,89450,Washoe
"Panorama Village Association, Inc.",0125162011-5,REG,300.0,(775) 673-5222,"C/O Amc, Llc",3277 Reno Vista Dr,Reno,NV,89512,Washoe
Pine Landing Community Association,3082222019-4,REG,406.0,(805) 413-5300,"C/O Amh Portfolio Zb, Llc","23975 Park Sorrento, Suite 300",Calabasas,CA,91302,
Riverside Terrace Condominium,1500-1970,REG,33.0,(775) 230-8531,C/O Anchor Management And Consulting,501 N Minnesota St,Carson City,NV,89703,Carson City
Centertowne Subdivision Association,4164-1978,REG,44.0,(775) 230-8531,C/O Anchor Management And Consulting,501 N Minnesota St,Carson City,NV,89703,Carson City
Springlane Property Owner'S Association Inc,1588-1989,REG,12.0,(775) 230-8531,C/O Anchor Management And Consulting,501 N Minnesota St,Carson City,NV,89703,Carson City
"Townes At Monterra Homeowners Association, The",4778702020-2,REG,46.0,(775) 230-8531,C/O Anchor Management And Consulting,963 Topsy Ln Ste 306#151,Carson City,NV,89705,Douglas
Alum Creek Patio Homes Homeowners Association,3220-1988,SUB,112.0,(775) 230-8531,C/O Anchor Management And Consulting,2320 S Carson St Suite 3,Carson City,NV,89701,Clark
"Hidden Lake Homeowners Association, Inc",6921-1991,REG,10.0,(775) 230-8531,C/O Anchor Management And Consulting,2320 S Carson St Ste A,Carson City,NV,89701,Washoe
Tavo Valera Homeowners Association,15308-1999,SUB,58.0,(775) 230-8531,C/O Anchor Management And Consulting,501 N Minnesota St,Carson City,NV,89703,Washoe
Capital Village Homeowners Association,0253752005-3,REG,135.0,(775) 230-8531,C/O Anchor Management And Consulting,2320 S Carson St Suite 3,Carson City,NV,89701,Carson City
Airpark Estates Homeowners Association,887-1991,REG,40.0,(775) 230-8531,C/O Anchor Management And Consulting,963 Topsy Ln Ste 306 #151,Carson City,NV,89705,Lyon
Stafford Greens Association Unit No. 4,1443-1981,REG,18.0,(775) 230-8531,C/O Anchor Management And Consulting,963 Topsy Ln Ste 306 #151,Carson City,NV,89705,Carson City
Monte Cristo Homeowners Association,8637042020-4,REG,12.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Riverstone Landscape Maintenance Association,22261872022-6,REG,114.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Nye
Bullring Homeowners Association,32063422023-3,REG,12.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Luna Pointe Homeowners Association,10731532020-8,SUB,135.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W. Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Belcarra Community Association,26025752022-8,REG,128.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Sienna Square Homeowners Association,23668832022-3,REG,243.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Skyline Homeowners Association,15493072021-5,REG,43.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Titan Estates Homeowners Association,20057892022-3,REG,24.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Lyra Pointe Homeowners Association,18818922021-9,SUB,99.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Lusitano Ranch Community Association,2507762019-9,REG,36.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Bonita Spanish Ridge Homeowners Association,11539432021-6,REG,23.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Stargazer Community Association,13975472021-7,REG,8.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Buffalo Ridge Homeowners Association,15516322021-2,REG,18.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Obsidian Community Association,12649262021-9,SUB,94.0,(702) 531-3382,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Buffalo Mesa Community Association,12077612021-2,REG,41.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
"Summit Homeowners Association, The",9096942020-0,REG,14.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Pecos Homeowners Association,17142862021-1,REG,46.0,(702) 531-3382,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
"Pines Homeowners Association, The",21612572022-6,REG,9.0,(702) 531-3382,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Cameron Frias Community Association,17416362021-7,REG,484.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Aries & Nova Pointe Homeowners Association,15641962021-7,SUB,319.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Mountain Ridge Homeowners Association,22283352022-9,REG,22.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Rainbow Canyon Community Association,5185582020-4,REG,190.0,(702) 462-9281,C/O Apogee Management Corporation,"4775 W. Teco Ave, Ste 130",Las Vegas,NV,89118,Clark
Montrose Vista Rossa Unit Owners Association,15168132021-1,SUB,246.0,(702) 462-9281,C/O Apogee Management Corporation,"4775 W Teco Ave, Suite 130",Las Vegas,NV,89118,Clark
Talus Community Association,27554692022-7,REG,231.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Redwood Estates Community Association,8796452020-5,REG,88.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Oleta Place Homeowners Association,15498312021-5,REG,18.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Bremerton Community Association,12199002021-6,REG,72.0,(702) 531-3382,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Casa Bella Community Association,13752972021-6,REG,74.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Sonora Ranch Homeowners Association,15345372021-4,REG,152.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Hollywood Springs Homeowners Association,29426312023-2,REG,212.0,(702) 531-3382,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
La Madre I Homeowners Association,8773052020-7,REG,119.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Cascade Manor Homeowners Association,10395002020-3,REG,32.0,(702) 462-9281,C/O Apogee Management Corporation,"4775 W Teco Ave, Suite 130",Las Vegas,NV,89118,Clark
Willow Ranch Homeowners Association,19826202021-0,REG,155.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Gilmore Grove Community Association,23485632022-0,REG,59.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Cottages At Diamond Ranch Homeowners Association,26091372022-4,REG,76.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark
Willow Ranch Falls Homeowners Association,15119252021-8,REG,187.0,(702) 531-3382,C/O Apogee Management Corporation,"4775 W Teco Ave, Ste 130",Las Vegas,NV,89118,Clark
Durham West Community Association,16388212021-1,REG,167.0,(702) 462-9281,C/O Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark
Crystal Canyon Community Association,9053212020-3,SUB,166.0,(702) 531-3382,C/O Apogee Management Corporation,"4775 W. Teco Ave, Suite 130",Las Vegas,NV,89118,Clark
Falcon Crest Community Association,19372552021-2,SUB,110.0,(702) 462-9281,C/O Apogee Management Corporation,"4775 W Teco Ave., Suite 130",Las Vegas,NV,89118,Clark
Clearacre Condominium Homeowners Association,6070-1982,REG,63.0,(775) 626-7333,C/O Associa Sierra North,10509 Professional Circle Ste 200,Reno,NV,89521,Washoe
Regatta Pointe Lake Las Vegas Homeowners' Association,0412722016-6,SUB,59.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Durango Springs Ii Landscape Maintenance Association,10008-2002,REG,111.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Copper Ranch Community Association,23977082022-5,REG,301.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Eagle Creek Heights Community Association,1440-1999,REG,118.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Red Hills Homeowners Association,14477-1996,SUB,294.0,(702) 795-3344,C/O Associa Nevada South,7670 West Lake Mead Blvd #100,Las Vegas,NV,89128,Clark
Earlstone Homeowners Association,0562362005-0,SUB,98.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Provence Maintenance Association,0671172005-9,REG,93.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Pyrenees At Mountains Edge Homeowners Association,0896092005-0,SUB,128.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Ridgehaven Maintenance Corporation,0226512015-4,REG,83.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
"Preserves At Elkhorn Springs Homeowners Association, The",7059-1996,REG,172.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Pleasant Hills Homeowners Association,6547-1988,REG,128.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
El Capitan Ranch Landscape Maintenance Association,22196-1995,REG,768.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Briar Hill Park Home Owners Association,23725-1998,SUB,162.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd. Suite 100,Las Vegas,NV,89128,Clark
Briarwood 2 Homeowners Association,2285-2004,REG,22.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Briarwood Homeowners Association,28448-2001,REG,144.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Elkhorn - Cimarron Estates Homeowners Association,6729-1998,REG,227.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Estancia Homeowners Association,4255-2002,SUB,123.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd. Suite 100,Las Vegas,NV,89128,Clark
Quail Cove Community Association,7318282023-0,SUB,144.0,(702) 795-3344,C/O Associa Nevada South,,Las Vegas,NV,89128,Clark
Desert Skies Community Association,12173982021-4,REG,179.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Suite 100,Las Vegas,NV,89128,Clark
Coral Bay Homeowners Association,0278832014-3,REG,194.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Denali At Mountain'S Edge Homeowners Association,0754642006-7,SUB,296.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Soho Lofts Homeowners' Association,22310-2004,REG,122.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Smoke Ranch Villas Homeowners Association,2681-1994,REG,115.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Sky Ranch Community Association,30711-2001,REG,100.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
"Silverwood Ranch Homeowners Association, Inc",10190-1994,REG,582.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Suite 100,Las Vegas,NV,89128,Clark
Silverleaf Homeowners' Association,0424232007-0,REG,271.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd,Las Vegas,NV,89149,Clark
Cottonwood On Alexander Homeowners Association,29953-2001,REG,130.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Sierra Crossings At Shadow Hills Owners' Association,4370-2002,REG,278.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
"Cove Community Association, The",0012832016-5,SUB,600.0,(702) 795-3344,C/O Associa Nevada South,"7670 W. Lake Mead Blvd., Suite 100",Las Vegas,NV,89128,Clark
"Coves Homeowners Association, The",2811-1988,REG,128.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Craigmont Villas Homeowner Association,4789-1983,REG,96.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Shadow Point Homeowner'S Association,0331562018-0,SUB,102.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd,Las Vegas,NV,89128,Clark
Serene Canyon Homeowners Association,0085402017-2,REG,145.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Boulevard Ste 100,Las Vegas,NV,89128,Clark
Sequoia Homeowners Association,28576-2002,REG,212.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Seneca Falls Owners' Association,13119-2000,REG,186.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Crystal Springs Neighborhood Homeowners Association,8144-1995,REG,1426.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Roark Estates Homeowners Association,0012512011-2,REG,27.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Riverwalk Ranch Manor & Estates Homeowners Association,0379122006-0,SUB,144.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Deerbrooke Estates Homeowners Association,4163-1993,REG,69.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Delamar Canyon Community Association,23036852022-3,REG,251.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Picket Lane Association,0218552005-6,REG,98.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
River Mountain Trails Community Association,3461722023-9,REG,59.0,(702) 795-3344,C/O Associa Nevada South,,Las Vegas,NV,89128,Clark
Desert Linn Owners Association,13830-1992,REG,224.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89014,Clark
Clearwater Cove Homeowners Association,24111-2000,REG,128.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Casa/Villa Palermo Homeowners Association,19002-2004,SUB,77.0,(702) 795-3344,C/O Associa Nevada South,7670 West Lake Mead Blvd Suite 100,Las Vegas,NV,89128,Clark
Paradise Meadows Ii Community Association,4970-2003,REG,96.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Highview Homeowners' Association,28139932022-9,REG,104.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Hillcrest South Community Association,13006-2003,REG,40.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Catalina Estates Property Owners Association,6413-1996,REG,77.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Montara Homeowners Association,23190-2004,REG,105.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Canyon Crest Association,30645-2003,REG,90.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Mar-A-Lago Homeowners Association,2745-1993,SUB,444.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Manchester Park Homeowners Association,0459982006-9,SUB,252.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Castle Rock Community Association,29610052023-5,REG,33.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Madeira Canyon Homeowners' Association,0270032005-8,REG,1004.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd. Suite 100,Las Vegas,NV,89128,Clark
Iron Mountain Homeowners' Association,3313012023-9,REG,250.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Highlands East Community Association,0464362015-3,REG,355.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Castellina Homeowners Association,4775-2004,REG,91.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Canyons Estates Homeowners' Association,0374782006-3,REG,102.0,(702) 795-3344,C/O Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Longford At Paradise Springs Homeowners Association,7083-1993,REG,72.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
Lone Mountain Terrace Association,27997-2002,REG,274.0,(702) 795-3344,C/O Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark
